x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
164345.1,26143744.0,246367.33,254.25,3936.4,3668.67,5.64,55419.0,54.71,3967.16,1161.92,8428.84,655.17,9108.0,3
5766.69,1729357.0,12513.0,18457.19,57339.0,7452.0,2.77,439787.0,49.65,22572.16,25298.0,33345.58,3176.85,1461.73,2
621.69,151.38,22732.0,113.17,38735.26,433.36,2.0,4379.0,49.76,278.92,10432.0,453.29,32.87,15147.0,2
412264.0,513478.62,33193.13,18.43,2467.26,4564.12,4.0,39284.0,51.14,2494.21,823.3,33998.16,215.68,18212.0,2
512226.0,76292.0,7699.0,984.2,36462.0,4359.0,6.9,15363.0,54.96,178.0,354.83,23378.93,15.66,82.97,2
394642.0,74346384.0,169489.6,158.31,90377.0,12.0,5.0,2294.0,56.8,1275.35,2331.53,2156.7,195.46,78.86,0
148155.81,23562841.0,2578514.34,922.1,3547.13,2982.3,5.25,55154.0,54.19,3387.52,7815.64,75111.61,578.57,2150.0,3
2672.57,477878.0,27218.86,227.49,514913.6,2164.0,7.44,6526.0,5.8,116.11,367.24,686.86,67.95,23.39,2
153532.0,1393502.0,57464.0,65.8,150843.0,1618.52,3.0,7183.0,5.54,69.32,3334.2,1569.77,84.19,46.22,2
465105.0,82837.0,7961.0,1271.3,3522.0,485.0,6.73,15553.0,54.92,21.0,2732.21,26188.74,196.94,131.51,2
2929.1,43979126.0,151529.0,477.4,106821.0,1261.12,1.0,16526.0,58.0,3155.0,9831.0,3589.59,222.26,11631.0,3
