x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y
231243.0,148800.0,6122.5,171.9,16275.0,221.46,7.0,775.0,51.6,649.13,1218.0,11583.76,1.47,44.35,2
5766.69,1729357.0,12513.0,18457.19,57339.0,7452.0,2.77,439787.0,49.65,22572.16,25298.0,33345.58,3176.85,1461.73,2
1481223.32,25172.65,2317122.67,13427.7,24949.84,14523.55,3.41,349671.0,54.23,2888.0,44888.0,2813.0,2735.79,73.62,2
284506.0,939799.0,5127.0,32.11,68722.0,721.76,6.34,1322.0,56.12,711.15,2849.33,26531.99,22.42,93.35,2
13363.67,216135.63,9522.52,289.36,928.17,812.47,3.51,177797.0,6.7,141.0,3732.34,1135.0,64318.0,10956.0,2
148155.81,23562841.0,2578514.34,922.1,3547.13,2982.3,5.25,55154.0,54.19,3387.52,7815.64,75111.61,578.57,2150.0,3
1762.66,31465.0,365.0,191.2,18.0,397.83,6.43,4714.0,56.96,487.43,49.0,6189.5362,48.59,12.33,2
12392.77,11574554.0,337132.33,15149.0,468.41,9526.0,2.34,459.0,45.35,4352.67,19917.0,2725.47,2164.0,99.2,2
413.0,49568.5,141.0,3113.5,53.0,3196.88,9.4,646.0,52.63,345.2,298.42,81368.0,191.0,247.0,2
5184.98,969.0,31994.0,193.71,35816.0,6778.0,7.37,6594.0,51.32,4939.0,1399.88,596.8,67.37,18.69,2
465105.0,82837.0,7961.0,1271.3,3522.0,485.0,6.73,15553.0,54.92,21.0,2732.21,26188.74,196.94,131.51,2
2929.1,43979126.0,151529.0,477.4,106821.0,1261.12,1.0,16526.0,58.0,3155.0,9831.0,3589.59,222.26,11631.0,3
428994.85,616843295.0,588733.0,729.74,310.0,3821.59,3.0,355982.0,48.78,418.5,4491.0,1142.26,1684.79,111416.0,1
451794.0,7776768.0,169355.52,88.36,14012.0,9.0,6.0,23424.0,56.9,53.42,4175.76,16267.49,15.5,66.11,2
211684.0,93938057.0,21539.0,44.37,87387.0,773.0,6.0,60343.0,59.0,1746.0,15.0,11440202.0,25729.0,305.0,0
47826.1,65751.9,235795.95,5441.14,153839.56,854.55,14.5,55473.0,54.5,4438.99,6006.0,789.0,666.26,1263.0,2
19546.98,2791618.0,171454.0,142.44,249.86,281.37,7.0,1532.0,47.69,1724.54,1738.69,22867.23,129.16,117.98,2
258195.28,31158563.97,385231.41,19778.0,1827.34,1322.0,2.56,455174.0,44.91,633.92,16.0,29691.55,2419.36,992.27,3
1512554.0,2717945.0,3361.0,896798.0,1314.0,6116.6162,1.98,3984.0,57.25,15185.0,16228.0,2442659.0,2596.0,412.82,2
308955.0,136481.0,642.0,254.3,192245.0,387.78,5.0,7266.0,58.44,534.3,2946.0,7961.5,34339.0,37.7,2
